112518;The Garden of Rama (Rama, #3);Arthur C. Clarke;/book/show/112518.The_Garden_of_Rama;3.78;20901;1973
43822024;The Toll (Arc of a Scythe, #3);Neal Shusterman;/book/show/43822024-the-toll;4.30;25537;2019
170448;Animal Farm (Mass Market Paperback);George Orwell;/book/show/170448.Animal_Farm;3.93;2552389;1945
6436659;Transition (Hardcover);Iain M. Banks;/book/show/6436659-transition;3.86;9025;2009
7200884;Victorious (The Lost Fleet, #6);Jack Campbell;/book/show/7200884-victorious;4.09;14328;2010
10433900;Variant (Variant, #1);Robison Wells;/book/show/10433900-variant;3.93;21288;2011
8843789;Ultraviolet (Ultraviolet, #1);R.J. Anderson;/book/show/8843789-ultraviolet;3.76;9051;2011
27209239;Bloodline (Star Wars);Claudia Gray;/book/show/27209239-bloodline;4.06;18070;2016
112517;Rama Revealed (Rama, #4);Arthur C. Clarke;/book/show/112517.Rama_Revealed;3.74;12450;1993
25667918;Binti (Binti, #1);Nnedi Okorafor;/book/show/25667918-binti;3.93;39964;2015
772888;Woman on the Edge of Time (Paperback);Marge Piercy;/book/show/772888.Woman_on_the_Edge_of_Time;3.95;13393;1976
11045709;When She Woke (Hardcover);Hillary Jordan;/book/show/11045709-when-she-woke;3.67;25413;2011
142296;The Anubis Gates (Paperback);Tim Powers;/book/show/142296.The_Anubis_Gates;3.93;13992;1983
841628;The Hitchhiker's Guide to the Galaxy: A Trilogy in Four Parts (Paperback);Douglas Adams;/book/show/841628.The_Hitchhiker_s_Guide_to_the_Galaxy;4.51;34052;1986
42769202;Starsight (Skyward, #2);Brandon Sanderson;/book/show/42769202-starsight;4.48;23052;2019
12578077;Obsidian (Lux, #1);Jennifer L. Armentrout;/book/show/12578077-obsidian;4.20;212372;2011
9680114;Pure (Pure, #1);Julianna Baggott;/book/show/9680114-pure;3.74;22991;2012
49838;Titan (Gaea, #1);John Varley;/book/show/49838.Titan;3.95;7739;1979
16131473;Honor's Knight (Paradox, #2);Rachel Bach;/book/show/16131473-honor-s-knight;3.98;8175;2014
13452375;Legion (Legion, #1);Brandon Sanderson;/book/show/13452375-legion;4.14;33085;2012
23197269;Aurora (Hardcover);Kim Stanley Robinson;/book/show/23197269-aurora;3.74;18134;2015
93251;The October Country (Hardcover);Ray Bradbury;/book/show/93251.The_October_Country;4.15;13111;1955
100365;The Mote in God's Eye (Moties, #1);Larry Niven;/book/show/100365.The_Mote_in_God_s_Eye;4.07;60674;1974
100366;Neutron Star (Known Space);Larry Niven;/book/show/100366.Neutron_Star;4.12;11843;1966
28204534;Paper Girls, Vol. 1 (Paperback);Brian K. Vaughan;/book/show/28204534-paper-girls-vol-1;3.87;60948;2016
96472;Sundiver (The Uplift Saga, #1);David Brin;/book/show/96472.Sundiver;3.67;21925;1980
96471;Earth (Paperback);David Brin;/book/show/96471.Earth;3.92;6794;1990
39792427;One Word Kill (Impossible Times, #1);Mark  Lawrence;/book/show/39792427-one-word-kill;3.76;13226;2019
44492285;Dune Messiah (Dune Chronicles, #2);Frank Herbert;/book/show/44492285-dune-messiah;3.88;118967;1969
18423;The Left Hand of Darkness (Hainish Cycle #4);Ursula K. Le Guin;/book/show/18423.The_Left_Hand_of_Darkness;4.07;110317;1969
44492287;Heretics of Dune (Dune Chronicles, #5);Frank Herbert;/book/show/44492287-heretics-of-dune;3.86;51672;1984
44492286;Children of Dune (Dune Chronicles, #3);Frank Herbert;/book/show/44492286-children-of-dune;3.93;99105;1976
8909;The War of the Worlds (Paperback);H.G. Wells;/book/show/8909.The_War_of_the_Worlds;3.82;230739;1898
8908;World War Z: An Oral History of the Zombie War (Hardcover);Max Brooks;/book/show/8908.World_War_Z;4.01;414565;2006
23677341;We Are the Ants (Hardcover);Shaun David Hutchinson;/book/show/23677341-we-are-the-ants;4.19;26679;2016
96277;Engaging the Enemy (Vatta's War, #3);Elizabeth Moon;/book/show/96277.Engaging_the_Enemy;4.07;7992;2006
40604658;Jurassic Park (Jurassic Park, #1);Michael Crichton;/book/show/40604658-jurassic-park;4.02;769800;1990
348;The Door Into Summer (Paperback);Robert A. Heinlein;/book/show/348.The_Door_Into_Summer;4.01;21125;1957
816;Cryptonomicon (Paperback);Neal Stephenson;/book/show/816.Cryptonomicon;4.25;95192;1999
32601841;The Loneliest Girl in the Universe (Paperback);Lauren   James;/book/show/32601841-the-loneliest-girl-in-the-universe;3.81;10243;2018
13281368;The Twelve (The Passage, #2);Justin Cronin;/book/show/13281368-the-twelve;4.00;84453;2012
776212;Tuf Voyaging (Paperback);George R.R. Martin;/book/show/776212.Tuf_Voyaging;4.10;9056;1986
12930;Messenger (The Giver, #3);Lois Lowry;/book/show/12930.Messenger;3.91;106779;2004
60211;The Shadow of the Torturer (The Book of the New Sun, #1);Gene Wolfe;/book/show/60211.The_Shadow_of_the_Torturer;3.80;20632;1980
12936;Gathering Blue (The Giver, #2);Lois Lowry;/book/show/12936.Gathering_Blue;3.82;151089;2000
444944;Triplanetary (Lensman, #1);E.E. "Doc" Smith;/book/show/444944.Triplanetary;3.65;5799;1948
505064;Phule's Company (Phule's Company, #1);Robert Lynn Asprin;/book/show/505064.Phule_s_Company;3.97;8740;1990
1305912;Victory Conditions (Vatta's War, #5);Elizabeth Moon;/book/show/1305912.Victory_Conditions;4.09;7490;2008
216399;A Maze of Death (Paperback);Philip K. Dick;/book/show/216399.A_Maze_of_Death;3.78;6368;1970
662;Atlas Shrugged (Paperback);Ayn Rand;/book/show/662.Atlas_Shrugged;3.69;342633;1957
16131032;Abaddon's Gate (The Expanse, #3);James S.A. Corey;/book/show/16131032-abaddon-s-gate;4.24;74110;2013
31176804;Snapshot (Leather Bound);Brandon Sanderson;/book/show/31176804-snapshot;4.07;10270;2017
10090;Mountain of Black Glass (Otherland, #3);Tad Williams;/book/show/10090.Mountain_of_Black_Glass;4.05;14305;1999
36402034;Do Androids Dream of Electric Sheep? (Kindle Edition);Philip K. Dick;/book/show/36402034-do-androids-dream-of-electric-sheep;4.08;320574;1968
36630924;Here and Now and Then (Kindle Edition);Mike Chen;/book/show/36630924-here-and-now-and-then;3.78;4551;2019
15981711;The Lives of Tao (Tao, #1);Wesley Chu;/book/show/15981711-the-lives-of-tao;3.74;7756;2013
7735333;Matched (Matched, #1);Ally Condie;/book/show/7735333-matched;3.67;623910;2010
13493463;Eve & Adam (Eve & Adam, #1);Michael  Grant;/book/show/13493463-eve-adam;3.55;13359;2012
92956;The Memory of Earth (Homecoming, #1);Orson Scott Card;/book/show/92956.The_Memory_of_Earth;3.58;15087;1992
